Overall Qual,Year Remod/Add,Mas Vnr Area,TotRms AbvGrd,BsmtFin SF 1,MS Zoning,Street,Land Contour,Lot Config,Land Slope,Condition 1,Condition 2,Bldg Type,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Paved Drive,Sale Type,Sale Condition,Neighborhood_Grouped,HouseStyle_Simple,TotalSF,TotalBath,Qual_x_Area,Age,YearsSinceRemodel,TotalPorchSF,HasBasement,HasBasement,HasGarage,HasFireplace,BathPerBedroom,QuarterSold,PricePerSF,LotShape_Score,SalePrice
6,1960,112.0,7,639.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Hip,CompShg,BrkFace,Plywood,Stone,TA,TA,CBlock,TA,Gd,Gd,BLQ,Unf,GasA,Fa,Y,SBrkr,TA,Typ,P,WD ,Normal,NAmes,SingleStory,2736.0,2.0,9936,50,50,62,1,1,1,1,0.6666666666666666,2,78.58187134502924,2,215000
5,1961,0.0,5,468.0,RH,Pave,Lvl,Inside,Gtl,Feedr,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,Rec,LwQ,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Normal,NAmes,SingleStory,1778.0,1.0,4480,49,49,120,1,1,1,0,0.5,2,59.05511811023622,3,105000
6,1958,108.0,6,923.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NAmes,SingleStory,2658.0,1.5,7974,52,52,36,1,1,1,0,0.5,2,64.71030850263355,2,172000
7,1968,0.0,8,1065.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Hip,CompShg,BrkFace,BrkFace,None,Gd,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Y,WD ,Normal,NAmes,SingleStory,4220.0,3.5,14770,42,42,0,1,1,1,1,1.1666666666666667,2,57.81990521327014,3,244000
5,1998,0.0,6,791.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2557.0,2.5,8145,13,12,34,1,1,1,1,0.8333333333333334,1,74.26671881110677,2,189900
6,1998,20.0,7,602.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2530.0,2.5,9624,12,12,36,1,1,1,1,0.8333333333333334,2,77.27272727272727,2,195500
8,2001,0.0,6,616.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,StoneBr,SingleStory,2676.0,3.0,10704,9,9,170,1,1,1,0,1.5,2,79.78325859491778,3,213500
8,1992,0.0,5,263.0,RL,Pave,HLS,Inside,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,StoneBr,SingleStory,2560.0,2.0,10240,18,18,226,1,1,1,0,1.0,1,74.8046875,2,191500
8,1996,0.0,5,1180.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,StoneBr,SingleStory,3211.0,3.0,12928,15,14,152,1,1,1,1,1.5,1,73.65306758019308,2,236500
7,1999,0.0,7,0.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2798.0,2.5,12628,11,11,60,1,1,1,1,0.8333333333333334,2,67.5482487491065,3,189000
